ano,sigla_uf,rede,escolaridade,numero_docentes,prop_docentes_rais,rem_bruta_rais_1_quartil,rem_bruta_rais_mediana,rem_bruta_rais_media,rem_bruta_rais_3_quartil,rem_bruta_rais_desvio_padrao,carga_horaria_media_semanal,rem_media_40_horas_semanais
2016,GO,publica,superior,45118,95.60486,2541.17,3844.13,4053.328,5174.25,2080.799,36.62188,4427.221
2016,MS,publica,superior,28471,96.25584,2220.263,2842.384,3268.694,3929.43,1632.64,22.87024,5716.939
2016,MT,publica,superior,35603,95.08468,1858.95,3093.65,3080.972,3806.79,1762.094,35.6599,3455.951
2016,AL,publica,superior,20513,81.77741,1622.64,2258.08,2328.616,2895.32,982.6879,30.45598,3058.337
2016,BA,publica,superior,98714,93.2036,1927.65,2994.61,3708.171,5014.49,2279.216,33.58435,4416.547
2016,CE,publica,superior,65278,90.67986,1515.415,2242.255,2621.247,3212.0,1670.203,31.28165,3351.802
2016,MA,publica,superior,57214,83.30653,1910.47,2641.945,2934.19,3491.17,1626.177,29.53066,3974.432
2016,PB,publica,superior,34768,91.28221,1654.52,2235.29,2413.068,2712.18,1752.53,34.81913,2772.118
2016,PE,publica,superior,54422,94.72272,1745.25,2654.55,2981.694,3574.28,1873.475,35.91558,3320.781
2016,PI,publica,superior,34032,86.37165,1595.68,2692.67,2732.074,3333.58,1702.642,35.37208,3089.526
2016,RN,publica,superior,26094,91.58427,2376.65,2862.69,3333.687,3531.8,2078.16,34.06109,3914.95
2016,SE,publica,superior,17017,93.3302,3108.45,3646.58,3889.813,4309.45,1812.551,38.67118,4023.475
2016,AC,publica,superior,8193,90.68717,1954.64,2283.09,2724.427,3092.655,1433.757,30.12388,3617.631
2016,AM,publica,superior,33490,92.77098,1778.73,2192.965,2622.578,3346.68,1451.439,30.61738,3426.261
2016,AP,publica,superior,8461,88.32289,2516.4,2851.21,3261.034,3610.63,1347.666,39.49684,3302.577
2016,PA,publica,superior,55468,92.40643,2728.68,3866.11,4203.973,5402.05,2016.504,29.17817,5763.174
2016,RO,publica,superior,14271,97.32324,2162.46,2557.44,2693.462,2914.13,1212.981,35.20444,3060.367
2016,RR,publica,superior,5337,96.47742,2218.08,2849.27,3620.808,4359.68,2118.226,33.46418,4327.981
2016,TO,publica,superior,14248,96.0977,2275.09,3397.7,3479.811,4202.54,1799.046,37.50302,3711.499
2016,ES,publica,superior,40520,95.80207,1892.63,2285.839,2700.561,2981.69,1746.615,28.33828,3811.891
2016,MG,publica,superior,192646,97.58936,1778.039,2191.77,2631.725,3049.79,1696.097,25.40402,4143.794
2016,RJ,publica,superior,103747,97.25582,1923.235,2611.24,3308.844,3897.65,2200.886,31.46822,4205.95
2016,SP,publica,superior,326601,98.28996,2291.76,3062.25,3470.215,4121.815,1860.569,32.19455,4311.556
2016,PR,publica,superior,107351,97.93854,1994.41,2696.38,3164.922,3662.69,1834.36,30.20652,4191.045
2016,RS,publica,superior,96482,98.60078,1883.2,2435.38,2884.118,3225.99,1834.372,26.42897,4365.084
2016,SC,publica,superior,61868,97.99088,1867.79,2819.53,3156.862,3868.54,1972.35,29.26587,4314.735
2017,DF,publica,superior,21496,96.65519,5061.8,6412.16,7017.586,9099.57,2438.305,35.22302,7969.317
2017,GO,publica,superior,45854,96.32529,2810.23,4151.8,4376.816,5526.42,2202.402,35.51248,4929.891
2017,MS,publica,superior,28973,96.13778,2351.445,2975.455,3442.461,4124.05,1737.628,22.62992,6084.795
2017,MT,publica,superior,35694,95.46422,2010.94,3443.81,3463.134,4357.67,2003.834,35.5324,3898.564
2017,AL,publica,superior,21270,82.14857,1671.17,2357.66,2544.827,3035.92,1609.942,29.86603,3408.323
2017,BA,publica,superior,101319,93.56291,2075.07,3206.35,3983.577,5302.95,2492.898,33.62311,4739.094
2017,CE,publica,superior,67401,91.29538,1532.27,2226.766,2694.053,3341.11,1830.612,30.03945,3587.354
2017,MA,publica,superior,59710,84.9305,2088.735,2753.07,3112.3,3628.96,1722.706,28.16937,4419.41
2017,PB,publica,superior,34171,92.7658,1874.48,2433.807,2669.432,2926.16,2031.469,34.58309,3087.557
2017,PE,publica,superior,53686,95.11791,1860.865,2865.32,3222.81,3810.66,2093.13,36.08759,3572.209
2017,PI,publica,superior,33784,87.78416,1712.12,2825.805,2996.61,3684.3,1968.138,34.68883,3455.418
2017,RN,publica,superior,25992,92.54001,2570.813,3116.5,3661.955,3838.4,2396.064,30.97647,4728.693
2017,SE,publica,superior,17251,97.88998,3364.76,3901.09,4214.526,4678.6,2061.687,38.16113,4417.611
2017,AC,publica,superior,8325,90.25826,2084.86,2511.26,2915.414,3348.78,1543.881,30.07232,3877.87
2017,AM,publica,superior,34443,92.75324,1744.31,2137.34,2611.147,3297.64,1547.184,30.00725,3480.687
2017,AP,publica,superior,8256,87.5969,1343.48,1615.58,2241.121,2545.41,1494.417,39.547,2266.793
2017,PA,publica,superior,58134,94.07576,2799.06,4001.44,4321.071,5559.72,2102.347,28.44304,6076.805
2017,RO,publica,superior,14294,96.44606,2205.45,2636.6,2852.071,3000.17,1468.871,35.0756,3252.484
2017,RR,publica,superior,5072,97.7918,2645.865,3767.17,4619.053,5915.77,2678.569,32.90489,5615.035
